연번,파트,내용,반영여부,비고
1,명칭/UI,사용자 화면의 공식 도구명 노출을 일반 명칭으로 변경,반영,"자가보고 선별, 증상 기준 체크로 표시"
2,명칭/UI,하단 네비게이션을 짧은 영어 약어로 변경,반영,"ID/SELF/SYM/REACT/RESULT/PLAN"
3,명칭/UI,하단 네비게이션 클릭 이동 비활성화,반영,"현재 단계 표시용으로만 사용"
4,명칭/UI,첫 화면 ADMIN 버튼 제거,반영,"관리자 기능은 숨김"
5,명칭/UI,ID 입력 placeholder 변경,반영,"예: test01"
6,자가보고 선별,6문항 0~4 척도 구조,반영,"내부 키는 asrs 유지"
7,자가보고 선별,문항별 예시 보기 UI,반영,"예시 토글 구현"
8,자가보고 선별,문항별 영역 설명 툴팁,미반영,"향후 부주의/충동성 라벨 추가 가능"
9,자가보고 선별,quick analysis AI 해석,반영,"summary/attention/hyperactivity/guidance"
10,증상 기준 체크,23문항 Yes/No 구조,반영,"내부 키는 dsm5 유지"
11,증상 기준 체크,부주의/과잉행동·충동성/추가 확인 집계,반영,"subtype과 dailyImpact에 사용"
12,증상 기준 체크,시작 전 안내 카드,미반영,"최근 6개월/선별 도구 안내를 별도 카드로 추가 가능"
13,증상 기준 체크,quick analysis AI 해석,반영,"summary/subtype/inattention/hyperactivity/guidance"
14,반응성1,연습 6회/본 시행 60회,반영,"신호 찾기"
15,반응성1,500ms 자극 + 랜덤 ISI,반영,"1000/1250/1500ms"
16,반응성1,진행 중 방해 문구 제거,반영,"검사 중 안내 문구 최소화"
17,반응성1,omission/RT variability/Tau/late phase drop 저장,반영,"raw_trials와 validity 저장"
18,반응성1,무효 판정 후 재시행 UI,미반영,"validity 저장은 있으나 재시행 플로우 없음"
19,반응성2,o/x GIF 자극 사용,반영,"1024x1024, 25프레임, 0.50초, loop count 1"
20,반응성2,연습 8회/본 시행 50회,반영,"멈춤 버튼"
21,반응성2,성공 기준을 자극 시작 후 220ms~자극 종료로 설정,반영,"너무 빠른 반응은 premature"
22,반응성2,iPhone/iPad 터치 보정 적용,반영,"Apple touch device 380ms 보정"
23,반응성2,No-Go를 Go 2회 이상 뒤에 배치,반영,"기존 3회 조건에서 완화"
24,반응성2,테스트 선택 버튼 제거,반영,"흐름 순서대로만 진행"
25,반응성2,commission/fast error/Go RT/premature 저장,반영,"report 충동성 탭에 사용"
26,반응성2,기기별 타이밍 기준 데이터 기반 보정,미반영,"실제 사용자 JSON 축적 후 재조정 필요"
27,반응성3,모바일 센서 사용 가능 시 sensor 입력,반영,"권한/지원 조건 확인"
28,반응성3,센서 불가 시 iPhone/iPad long_touch fallback,반영,"중앙 원 롱터치 방식"
29,반응성3,PC에서 센서 오감지 방지,반영,"모바일/터치 조건 아니면 sensor 미사용"
30,반응성3,터치 좌표 실제 반영 및 터치 해제 시 점 숨김,반영,"롱터치 UX 수정 완료"
31,반응성3,바닥 방치/저변동 장시간 감지,미반영,"validity 개선 과제"
32,RESULT,주관적 보고 vs 객관적 반응 교차 비교,반영,"crossCheck 구조"
33,RESULT,부주의 탭 세부 지표,반영,"목표 놓침/RT 변동성/Tau/후반부 저하"
34,RESULT,충동성 탭 세부 지표,반영,"잘못된 반응/성급 반응/Go RT/패턴"
35,RESULT,리포트 본문 deterministic 우선,반영,"AI 문장보다 서버 계산값 우선"
36,PLAN,유형별 fallback plan 생성,반영,"buildPlanForMetrics"
37,PLAN,Gemini 기반 plan 문장 보조,반영,"plan.suggestions와 openingMessage"
38,PLAN,plan 조정 채팅,반영,"/api/ai/chat"
39,문서,루트 md 문서 최신화,반영,"README/전체프로세스/구조설명/사양서/질문과해석/논문차용/todo"
40,문서,발표자료.md 생성,반영,"서비스 흐름, 하이브리드 방식, 테스트 근거 포함"
41,문서,CSV 최신화,반영,"참조논문.csv, ActionItems.csv"
